 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
   286.000,   1,  0.46254200E+09,   0.00000000E+00,  -0.98657049E+09,   0.00000000E+00,   0.00000000E+00,  -0.94845595E+07,   0.00000000E+00,   0.00000000E+00,  -0.62115169E-11,
   287.000,   1,  0.47050651E+09,   0.00000000E+00,  -0.10021430E+10,   0.00000000E+00,   0.00000000E+00,  -0.94843866E+07,   0.00000000E+00,   0.00000000E+00,  -0.61681235E-11,
   288.000,   1,  0.47846337E+09,   0.00000000E+00,  -0.10177005E+10,   0.00000000E+00,   0.00000000E+00,  -0.94842138E+07,   0.00000000E+00,   0.00000000E+00,  -0.54744310E-11,
   289.000,   1,  0.48641448E+09,   0.00000000E+00,  -0.10332468E+10,   0.00000000E+00,   0.00000000E+00,  -0.94840411E+07,   0.00000000E+00,   0.00000000E+00,  -0.42855249E-11,
   290.000,   1,  0.49437920E+09,   0.00000000E+00,  -0.10488197E+10,   0.00000000E+00,   0.00000000E+00,  -0.94838682E+07,   0.00000000E+00,   0.00000000E+00,  -0.40585968E-11,
   291.000,   1,  0.50233321E+09,   0.00000000E+00,  -0.10643717E+10,   0.00000000E+00,   0.00000000E+00,  -0.94836955E+07,   0.00000000E+00,   0.00000000E+00,  -0.44635016E-11,
   292.000,   1,  0.51029566E+09,   0.00000000E+00,  -0.10799402E+10,   0.00000000E+00,   0.00000000E+00,  -0.94835226E+07,   0.00000000E+00,   0.00000000E+00,  -0.35403777E-11,
   293.000,   1,  0.51825233E+09,   0.00000000E+00,  -0.10954974E+10,   0.00000000E+00,   0.00000000E+00,  -0.94833498E+07,   0.00000000E+00,   0.00000000E+00,  -0.36367085E-11,
   294.000,   1,  0.52621232E+09,   0.00000000E+00,  -0.11110610E+10,   0.00000000E+00,   0.00000000E+00,  -0.94831770E+07,   0.00000000E+00,   0.00000000E+00,  -0.37506130E-11,
   295.000,   1,  0.53416976E+09,   0.00000000E+00,  -0.11266197E+10,   0.00000000E+00,   0.00000000E+00,  -0.94830042E+07,   0.00000000E+00,   0.00000000E+00,  -0.20595731E-11,
   296.000,   1,  0.54212678E+09,   0.00000000E+00,  -0.11421775E+10,   0.00000000E+00,   0.00000000E+00,  -0.94828314E+07,   0.00000000E+00,   0.00000000E+00,   0.16232060E-11,
   297.000,   1,  0.55008565E+09,   0.00000000E+00,  -0.11577390E+10,   0.00000000E+00,   0.00000000E+00,  -0.94826586E+07,   0.00000000E+00,   0.00000000E+00,   0.25110507E-12,
   298.000,   1,  0.55803852E+09,   0.00000000E+00,  -0.11732888E+10,   0.00000000E+00,   0.00000000E+00,  -0.94824859E+07,   0.00000000E+00,   0.00000000E+00,   0.12402703E-11,
   299.000,   1,  0.56598997E+09,   0.00000000E+00,  -0.11888357E+10,   0.00000000E+00,   0.00000000E+00,  -0.94823132E+07,   0.00000000E+00,   0.00000000E+00,   0.23753597E-11,
   300.000,   1,  0.57394765E+09,   0.00000000E+00,  -0.12043949E+10,   0.00000000E+00,   0.00000000E+00,  -0.94821404E+07,   0.00000000E+00,   0.00000000E+00,   0.13039706E-11,
   301.000,   1,  0.58190871E+09,   0.00000000E+00,  -0.12199606E+10,   0.00000000E+00,   0.00000000E+00,  -0.94819676E+07,   0.00000000E+00,   0.00000000E+00,   0.22643416E-11,
   302.000,   1,  0.58986032E+09,   0.00000000E+00,  -0.12355079E+10,   0.00000000E+00,   0.00000000E+00,  -0.94817949E+07,   0.00000000E+00,   0.00000000E+00,   0.49129311E-12,
   303.000,   1,  0.59781942E+09,   0.00000000E+00,  -0.12510698E+10,   0.00000000E+00,   0.00000000E+00,  -0.94816221E+07,   0.00000000E+00,   0.00000000E+00,  -0.48385682E-11,
   304.000,   1,  0.60578164E+09,   0.00000000E+00,  -0.12666378E+10,   0.00000000E+00,   0.00000000E+00,  -0.94814492E+07,   0.00000000E+00,   0.00000000E+00,  -0.33787799E-11,
   305.000,   1,  0.61374018E+09,   0.00000000E+00,  -0.12821819E+10,   0.00000000E+00,   0.00000000E+00,  -0.94813653E+07,   0.00000000E+00,   0.00000000E+00,  -0.75260517E-11,
   306.000,   1,  0.62288623E+09,   0.00000000E+00,  -0.12924194E+10,   0.00000000E+00,   0.00000000E+00,  -0.95216030E+07,   0.00000000E+00,   0.00000000E+00,  -0.34407954E-11,
